title,artist,gen,feeling,,,,
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,Overcoming Fear,,,,
Finesse,Drake,r&b,Chill,,,,
All of Me,John Legend,neo mellow,Nostalgia,,,,
Stay With Me,Sam Smith,pop,Nostalgia,,,,
Summer,Calvin Harris,dance pop,Joyful,,,,
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,Joyful,,,,
Rude,MAGIC!,pop,Joyful,,,,
Shake It Off,Taylor Swift,pop,Joyful,,,,
America Has a Problem,Beyonce,r&b,Rage,,,,
Hey Brother,Avicii,electro house,Nostalgia,,,,
Maps,Maroon 5,pop,Nostalgia,,,,
Treasure,Bruno Mars,pop,Joyful,,,,
Let Her Go,Passenger,folk-pop,Nostalgia,,,,
Problem,Ariana Grande,dance pop,Joyful,,,,
Pompeii,Bastille,synth pop,Nostalgia,,,,
Team,Lorde,pop,Rage,,,,
Love Me Again,John Newman,pop,Joyful,,,,
Latch,Disclosure,house,Joyful,,,,
Adore You,Miley Cyrus,dance pop,Nostalgia,,,,
Love Never Felt So Good,Michael Jackson,pop,Joyful,,,,
Burn,Ellie Goulding,dance pop,Joyful,,,,
She Looks So Perfect,5 Seconds of Summer,pop,Joyful,,,,
Fancy,Iggy Azalea,hip hop,Joyful,,,,
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,Joyful,,,,
Gorilla,Bruno Mars,pop,Chill,,,,
Human,Christina Perri,dance pop,Defeat,,,,
Heaven,Niall Horan,pop,Joyful,,,,
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,Joyful,,,,
Love Runs Out,OneRepublic,dance pop,Rage,,,,
This Is How We Do,Katy Perry,dance pop,Joyful,,,,
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,Joyful,,,,
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,Joyful,,,,
#SELFIE,The Chainsmokers,electropop,Joyful,,,,
Partition,Beyonce,dance pop,Rage,,,,
Birthday,Katy Perry,dance pop,Joyful,,,,
G.U.Y.,Lady Gaga,dance pop,Joyful,,,,
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,electro house,Joyful,,,,
Level of Concern,Twenty One Pilots,pop rock,Optimism,,,,
Wings,Birdy,neo mellow,Nostalgia,,,,
Can't Remember to Forget You (feat. Rihanna),Shakira,pop,Optimism,,,,
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,Joyful,,,,
Say Something,A Great Big World,neo mellow,Nostalgia,,,,
A Sky Full of Stars,Coldplay,pop,Joyful,,,,
Si Te Vas,Reik,ballad,Nostalgia,,,,
Chandelier,Sia,pop,Rage,,,,
Formation,Beyoncé,r&b,Joyful,,,,
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,Joyful,,,,
Not About Angels,Birdy,neo mellow,Nostalgia,,,,
Drunk in Love,Beyonce,dance pop,Joyful,,,,
Anaconda,Nicki Minaj,dance pop,Joyful,,,,
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr鋞er,Charli XCX,pop,Joyful,,,,
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,pop,Joyful,,,,
Tee Shirt - Soundtrack Version,Birdy,neo mellow,Nostalgia,,,,
Words as Weapons,Birdy,neo mellow,Nostalgia,,,,
You're Mine (Eternal),Mariah Carey,dance pop,Optimism,,,,
All the Stars (ft. SZA),Kendrick Lamar,r&b,Optimism,,,,
Middle Ground,Maroon 5,pop,Optimism,,,,
Wish You The Best,Lewis Capaldi,pop,Nostalgia,,,,
I Fall Apart,Post Malone,alternative r&b,Nostalgia,,,,
Renee's Song,Bazzi,pop,Chill,,,,
